text,label
YO PUT SARA ON LEAVE TOMORROW,absence
logout please,OUT_OF_SCOPE
ATTENDANCE SUMMARY BETWEEN 2 JAN AND 7 JAN,absence
DRAFT HLD FOR DATA PIPELINE,tdo_drafting
yo what is the budget for data pipeline,cost_estimation
log Amna as absent tomorrow,absence
Flag aman on pto tomorrow asap,absence
PLS FLAG ISHA ON PTO ON 2025-09-01,absence
pls mark Nitin absent tomorrow,absence
attendance summary next weke,absence
Record merea as on leave tomorrow thanks,absence
record Anil as on leave tomorrow,absence
pls dratf spec for ntoification system ok,tdo_drafting
absent list tomorrow,absence
set Neha as absent on 2025-09-01,absence
log Arjun as absent on 2025-09-01,absence
log Rohti as absent today,absence
flag Sanjay on PTO today,absence
Attendance report yesterday urgent,absence
draft spec for absecne API,tdo_drafting
hi predict infra costs for payroll service 🚀,cost_estimation
Set anil as absent tomorrwo thanks,absence
who was absent for Q3,absence
flag Priya on PTO tomorrow,absence
set Rohit as absent today,absence
LOG PRIYA AS ABSENT TOMORROW,absence
PUT DEEPA ON LEAVE TOOMRROW,absence
bro capex/opex for billing gateway 🙏,cost_estimation
Pls put sanjay on leave tomorrow,absence
Yo set isha as absent on 2025-09-01,absence
log Deepa as absent on 2025-09-01,absence
Hey flag depea on pto today asap,absence
predict infra costs for reporting module,cost_estimation
bro what is the budget for data pipeline 🚀,cost_estimation
flag Sanjay on PTO tomorrow,absence
how to leave a review,OUT_OF_SCOPE
draft spec for mobile app,tdo_drafting
set Raj as absent today,absence
flag Ihsa on PTO today,absence
LOG AISHA AS ABSENT TOMORROW ASAP,absence
flag Isha on PTO on 2025-09-01,absence
yo kaun is on leave for Q3,absence
hi anyone on sick leave for the past 2 weeks 🙏,absence
Bro put deepa on leave on 2025-09-01,absence
record Aisha as on chutti on 2025-09-01,absence
pls andaza cost for billnig gateway,cost_estimation
Attendance summary last week,absence
TCO estimate for absence API,cost_estimation
set Neha as asbent today urgent,absence
😀😀😀,OUT_OF_SCOPE
anyone on sick leave between 1st and 7th,absence
attendance summary on Friday,absence
leave status for on Monday,absence
forecast budget for chat service ok,cost_estimation
hi put Anil on chutti today asap,absence
set Kiran as absent on 2025-09-01,absence
who was absent on Monday,absence
flag Sara on PTO on 2025-09-01,absence
TCO estimate for notification system,cost_estimation
ballpark costs for payroll service,cost_estimation
set Rohit as absent today,absence
reocrd Vikram as on leave today,absence
put Arjun on leave today,absence
mark Sara absent tomorrow,absence
draft HLD for payroll service,tdo_drafting
draft HLD for React front-end,tdo_drafting
pls sketch technical design for chat service,tdo_drafting
rough budget for analytics dashboard,cost_estimation
estimaet cost for ivnentory system,cost_estimation
TCO estimate for notification system,cost_estimation
hey flag Rohit on PTO tomorrow,absence
draft HLD for pyaroll service,tdo_drafting
draft HLD for analytics dashboard,tdo_drafting
set Deepa as absent today,absence
sketch technical design for ETL pipeline,tdo_drafting
absent list between 1st and 7th,absence
ballpark costs for chat service,cost_estimation
hey attendance summary last month,absence
ASSISTANT CREATE A TECHNICAL DESIGN OUTLINE FOR REACT FRONT-END,tdo_drafting
assistant draft a TDO for React front-end,tdo_drafting
draft HLD for chat service,tdo_drafting
leaev status for next week thanks,absence
hi what is the budget for billing gateway,cost_estimation
Laeve status for next month,absence
flga Deepa on PTO tomorrow,absence
kaun was out betewen 1st and 7th,absence
Assistant who was absent on monday,absence
ROUGH BUDGET FOR RESERVATION API,cost_estimation
yo sketch technical design for absenec API,tdo_drafting
what is the budget for invoice microservice,cost_estimation
pls flag Anil on PTO on 2025-09-01,absence
hey forecast budget for authentication service,cost_estimation
DRATF HLD FOR BILLING GATEWAY,tdo_drafting
hey who all were out between 2 Jan and 7 Jan,absence
predict infra costs for authentication service,cost_estimation
who was absent on Friday,absence
create a technical design outline for ETL pipeline,tdo_drafting
RECORD GAURAV AS ON CHUTTI ON 2025-09-01 🙏,absence
who had PTO next week,absence
Kharcha prediction for billing gaetway,cost_estimation
HI SET VIKRAM AS ABSENT TODAY OK,absence
capex/opex for React front-end,cost_estimation
mark Anil absent tomorrow,absence
hi put Gaurva on levae today urgent,absence
set Sanjay as absent tomorrow,absence
record Priya as on leave on 2025-09-01,absence
Pls anyone on sick leave tomorrow asap,absence
Log aman as absetn on 2025-09-01 thanks,absence
log Kiran as absent on 2025-09-01,absence
HEY BEREAVEMENT LEAVE POILCY DOC,OUT_OF_SCOPE
what is the budget for reservation API,cost_estimation
record Arjun as on leave today 🙏,absence
pls sign out,OUT_OF_SCOPE
set Pooja as chutti today,absence
log Isha as absent tomorrow,absence
Log priya as chutti on 2025-09-01,absence
flag Roiht on PTO today,absence
TCO estimate for notification system 🙏,cost_estimation
who had PTO on Monday,absence
anyone on sick chutti this week ok,absence
flag Vikram on PTO today,absence
SET MEERA AS CHUTTI ON 2025-90-01 URGENT,absence
TCO estimate for invoice microservice,cost_estimation
hey ballpark costs for reporting module,cost_estimation
draft spec for data pipeline,tdo_drafting
Leave-one-out cross validation,OUT_OF_SCOPE
forecast budget for inventory system,cost_estimation
andaza kharcha for absence API thanks,cost_estimation
attendance report tomorrow,absence
yo prepare an architecture doc for notification sysetm,tdo_drafting
yo flag Aisha on PTO on 2025-09-01 urgent,absence
solve 2+2,OUT_OF_SCOPE
who toko PTO today 🙏,absence
ESTIMATE COST FOR CHAT SERVICE,cost_estimation
record Arjun as on leave tmoorrow,absence
ESITMATE KHARCHA FOR REPORTING MODULE THANKS,cost_estimation
put Aisha on leave tomorrow,absence
pls prepare an architetcure doc for reservation API thanks,tdo_drafting
put Nitin on leave today,absence
hey what is the budget for analytics dashboard,cost_estimation
ROUGH BUDGET FOR INVOICE MICROSERVICE,cost_estimation
HEY KAUN IS ON LEAVE FOR THE LAST 10 DAYS 🚀,absence
assistant put Gaurav on leave tomorrow urgent,absence
anyone on sick leave last week,absence
predict infra costs for analytics dashboard,cost_estimation
pls who took PTO on Monday,absence
Ballpark costs for react front-end urgent,cost_estimation
TCO estimate for payroll service,cost_estimation
forecast budget for analytics dashboard,cost_estimation
draft HLD for payroll service,tdo_drafting
log Raj as absent on 2025-09-01,absence
BRO PREPARE AN ARCHITECTURE DOC FOR RESERVATION API,tdo_drafting
estimate cots for authentication service,cost_estimation
Solev 2+2,OUT_OF_SCOPE
HEY SET RAHUL AS ABSENT TODAY,absence
prepare an architecture doc for mobile app ok,tdo_drafting
flag Gaurav on PTO tdoay,absence
Log rohit as absent today,absence
assistant anyone on sick leave in August urgent,absence
who was out today,absence
draft spec for React front-end,tdo_drafting
rough bugdet for data pipeline ok,cost_estimation
csot center mapping,OUT_OF_SCOPE
set Ainl as asbent tomorrow,absence
PREDICT INFRA COSTS FOR REACT FRONT-END,cost_estimation
set Pooja as absent on 2025-09-01,absence
HI BALLPARK COSTS FOR INVOICE MICROSERVICE,cost_estimation
put Meera on leave today,absence
waht is the budget for ETL piepline,cost_estimation
FLAG POOJA ON PTO ON 2025-09-01,absence
assistant who was out for the past 2 weeks thanks,absence
Pls waht is the budget for reservation api,cost_estimation
yo log Kiran as absent on 2025-09-01 urgent,absence
HEY MARK PRIYA CHUTTI ON 2025-09-01,absence
put Sneha on leave on 2025-09-01,absence
hey log Pooja as absent on 2025-09-01,absence
set Rahul as absent tomorrow,absence
who was absent on Monday,absence
MARK DEEPA ABSENT TODAY,absence
put Anil on leave today,absence
who had PTO this week,absence
TCO estimate for data pipeline,cost_estimation
who took PTO between 1st and 7th,absence
paid leave policy pdf,OUT_OF_SCOPE
put Manju on leave on 2025-09-01,absence
set Raj as absent tomorrow,absence
MARK DEEPA ABSENT TOMORROW,absence
who is on chutti on 2025-09-01 asap,absence
TCO estimate for authentication service asap,cost_estimation
leave status for yesterday,absence
makr Nitin absent tomorrow,absence
SET AISHA AS ABSENT TOMORROW,absence
set Rahul as absent today,absence
estimate cost for reservation API urgent,cost_estimation
prepare an architecture doc for ETL pipeline,tdo_drafting
record Sneha as on leave on 2025-09-01,absence
set Meera as absent on 2025-09-01,absence
flag Sanjay on PTO tomororw thanks,absence
record Nitin as on leave today,absence
set Rahul as asbent on 2205-09-01,absence
log Meera as absent on 2025-09-01,absence
bro record Neha as on leave toomrrow,absence
mark Vikram absent today,absence
Bro rough budegt for inventory system asap,cost_estimation
Kaun had pto on friday,absence
to-do vs TDO difference,OUT_OF_SCOPE
set Sanjay as absent tomorrow,absence
bro leave-one-out cross validation,OUT_OF_SCOPE
PLS SET AAMN AS CHUTTI TODAY OK,absence
Pls show absences on friday,absence
hey log Sneha as absent on 2025-09-01,absence
record Kiran as on leave tomorrow,absence
who was out yesterday,absence
bro who all were out between 2 Jan and 7 Jan 🚀,absence
ballpark cotss for authentication service,cost_estimation
hey who was out last month,absence
forecast budget for analytics dashboard,cost_estimation
assistant leave status for for Q3,absence
Makr ravi absent todya urgent,absence
put Deepa on leave today urgent,absence
set Aman as absent on 2025-09-01,absence
COST PREDICTION FOR NOTIFICATION SYSTEM,cost_estimation
set Meera as absent tomorrow asap,absence
hi set Isha as absent today,absence
show absences next month,absence
Pls mark pooja absent tomorrow,absence
CREATE A TECHNICAL DESIGN OUTLINE FOR INVOICE MICROSERVICE,tdo_drafting
put Aisha on leave today,absence
ESTIMATE COST FOR REACT FRONT-END,cost_estimation
assistant recodr Aman as on leave on 2025-09-01 urgent,absence
who was out between 1st and 7th,absence
anyone on sick chutti in August,absence
hi create a technical deisgn outline for reservation API 🙏,tdo_drafting
forecast budget for data pipeline,cost_estimation
put Deepa on leave on 2025-09-01,absence
HEY ATTENDANCE SUMMARY FOR Q3,absence
record Aman as on chutti tomorrow,absence
estimate cost for data pipeline,cost_estimation
mark Arjun absent on 2025-09-01,absence
Assistant prepare an architecture doc for invoice microservice 🙏,tdo_drafting
prepare an architecture doc for mobile app,tdo_drafting
SHOW ABSENCES ON MONDAY,absence
sketch technical design for inventory system asap,tdo_drafting
mark Manju absent today asap,absence
Perpare an architecture doc for analytics dashboard,tdo_drafting
record Aisha as on leave on 2025-09-01,absence
LOG SENHA AS ABSENT TOMORROW THANKS,absence
Hey cost prediction for kubernetes migration thanks,cost_estimation
reocrd Aman as on leaev on 2025-09-01,absence
log Gaurav as absent today,absence
create a technical design outline for data pipeline,tdo_drafting
anyoen on sick leave for the last 10 days,absence
HI WHO IS ON LEAVE BETWEEN 1ST AND 7TH THANKS,absence
who took PTO betwene 1st and 7th,absence
rough budget for reporting module,cost_estimation
yo outline architecture for React front-end 🚀,tdo_drafting
Draft spec for inventory system,tdo_drafting
Log isha as absent today 🚀,absence
RECORD AISHA AS ON LEVAE ON 2025-09-01,absence
Pls outline architecture for mobile app,tdo_drafting
pls put Rahul on leave on 2025-09-01,absence
hey rough budget for payroll service,cost_estimation
iPhone cost in india,OUT_OF_SCOPE
log Pooja as absent tomorrow asap,absence
draft HLD for mobile app,tdo_drafting
Show absences between 2 jan and 7 jan 🚀,absence
anyone on sick leave between 1st and 7th,absence
bro attendance summary on Friday 🚀,absence
absent minded professor movie,OUT_OF_SCOPE
log Isha as absent on 2025-09-01,absence
record Manju as on leave tomorrow,absence
Hey draft spec for etl pipeline,tdo_drafting
costume ideas for halloween,OUT_OF_SCOPE
WHO TOOK PTO ON 2025-09-01 OK,absence
hey ballpark costs for inventory system,cost_estimation
hi foreacst budget for notification system,cost_estimation
sketch technical design for notification system,tdo_drafting
flag Vikram on PTO on 2025-09-01,absence
estimate cost for authentication service,cost_estimation
estimate cost for mobile app,cost_estimation
FLAG NEHA ON PTO TOMORROW THANKS,absence
flag Rahul on PTO on 2025-09-01,absence
who was out this week,absence
put Arjun on leave tomorrow,absence
set Gaurav as absent today,absence
HEY SET POOJA AS ABSENT ON 2025-09-01,absence
assistant prepare an architecture doc for notification system,tdo_drafting
mark Raj chutti today,absence
hi put Pooja on leave tdoay,absence
who was out last month,absence
bro outline architecture for reservation API asap,tdo_drafting
show absences last week,absence
put Priya on leave today ok,absence
who had PTO last month,absence
show absences yesterday,absence
who is on leave this week,absence
HI PUT ANIL ON LEAVE TOMORROW 🚀,absence
leave status for for the lats 10 days thanks,absence
flag Anil on PTO on 2025-09-01,absence
absenteeism dashboard mertics,OUT_OF_SCOPE
predict infra costs for Kubernetes migration,cost_estimation
attendance summary tomorrow,absence
who is on leave on Friday,absence
yo draft a TDO for notification system,tdo_drafting
mark Anil absent tomorrow,absence
absent list for the last 10 days,absence
log Sara as absent tomorrow,absence
pls who was out on Friday,absence
assistant costume ideas for halloween urgent,OUT_OF_SCOPE
outline architecture for Kubernetes migration,tdo_drafting
HEY RECORD RAJ AS ON LEAVE TODAY,absence
set Deepa as absent tomorrow,absence
bro who was absent yesterday,absence
TCO estimate for data pipeline,cost_estimation
Mark anil absent on 2025-09-01,absence
/help /satrt,OUT_OF_SCOPE
flag Gaurav on PTO tomorrow,absence
CAPEX/OPEX FOR ETL PIPELINE ASAP,cost_estimation
set Anil as absnet today,absence
SKETCH TECHNICAL DESIGN FOR CHAT SERVICE ASAP,tdo_drafting
yo rough budget for React front-end urgent,cost_estimation
put Ravi on leave today ok,absence
yo draft HLD for inventory system,tdo_drafting
Draft spce for billing gateawy,tdo_drafting
kaun took PTO yesterday,absence
ballpark costs for Kubernetes migration thanks,cost_estimation
who is on leave on 2025-09-01,absence
attendance summary on Monday,absence
Pls log sneha as absent today 🚀,absence
MARK MANJU ABSENT ON 2025-09-01,absence
hi attendance summary for Q3 urgent,absence
capex/opex for payroll service 🙏,cost_estimation
banado a TDO for absence API,tdo_drafting
put Raj on leave tomorrow 🙏,absence
draft spec for billing gateway,tdo_drafting
attendance summary for the last 10 days,absence
PLS KAUN WAS OUT TODAY OK,absence
capex/opex for analytics dashboard,cost_estimation
who was out betewen 2 Jan and 7 Jan,absence
Forecast budget for absence api,cost_estimation
banado HLD for data pipeilne,tdo_drafting
PLS TELL ME A JOKE,OUT_OF_SCOPE
who all were out next month,absence
yo record Aisha as on leave tomorrow,absence
set Isha as absent today,absence
log Sanjay as absent on 2025-09-01 asap,absence
draft HLD for payroll service,tdo_drafting
Play music asap,OUT_OF_SCOPE
anyone on sick leave for the past 2 wekes,absence
what is the budget for Kubernetes migration,cost_estimation
who is on leave in August,absence
capex/opex for React front-end,cost_estimation
sign out,OUT_OF_SCOPE
BRO SET DEEPA AS ABSENT ON 2025-09-01,absence
translate hola to english,OUT_OF_SCOPE
mark Sanjay absent today,absence
draft HLD for reporting module,tdo_drafting
estimate cost for chat service,cost_estimation
draft HLD for analytisc dashboard,tdo_drafting
set Aman as absnet today,absence
assistant who had PTO on Monday ok,absence
Hey mrak kiran absent on 2205-09-01,absence
draft HLD for React front-end,tdo_drafting
hey record Anil as on leave tdoay,absence
who had PTO on 2025-09-01,absence
capex/opex for absence API,cost_estimation
pls draft spec for analytics dashboard asap,tdo_drafting
estimate cost for notification system,cost_estimation
Pls set anil as absent today,absence
kaun was out last week,absence
forecast budget for billing gateway,cost_estimation
Yo draft hld for analytics dashboard,tdo_drafting
put Aamn on leave today,absence
yo put Rahul on chutti tomorrow,absence
